Name	County	Location	AcresBurned	Year	Month	Extinguished	Started
3-2 Willow (Previously H-1 Fire)	Lassen	Pittville Road and Sheep Flat Road, southeast of Fall River Mills	107	2019	8		8/7/19
Caliente Fire	Kern	Caliente Bodfish Rd, east of Bakersfield	29	2019	8	8/6/19	8/5/19
Toro Fire 	Riverside	26000 Block El Toro Road, North of Lake Elsinore	94	2019	8	8/6/19	8/5/19
Gilbert Fire	Shasta	Highway 44 and Gilbert Drive, Palo Cedro, East of Redding	30	2019	8		8/4/19
Marsh Complex	Contra Costa	Marsh Creek Rd and Morgan Territory Rd, southwest of Brentwood	340	2019	8	8/6/19	8/3/19
Five Fire	Los Angeles	Off Interstate 5 &amp; Templin Hwy	156	2019	8	8/5/19	8/3/19
La Barisa Fire	San Bernardino	Off La Barisa Dr &amp; Hwy 247 in Landers	26	2019	8	8/4/19	8/3/19
Browns Fire	Sacramento	Off Twin Cities Road and Clay Station Road, Northeast of Herald 	84	2019	8	8/2/19	8/2/19
Prairie Fire 	Sacramento	off White Rock Road and Prairie City Road 	50	2019	8	8/2/19	8/2/19
Meadow Fire (Not a CAL FIRE incident)	Modoc	County Road 48 and Highway 395, northeast of Alturas	103	2019	8	8/2/19	8/2/19
Caliente Fire	San Diego	Off Airway Road and Caliente Ave, in San Ysidro 	448	2019	8	8/3/19	8/1/19
Mesa Fire 	Kern	near Quail Dr and Bobcat Dr in the Kern River Valley, South of Lake Isabela	448	2019	7		7/31/19
Mill Fire	Monterey	In Los Padres National Forest, West of Fort Hunter Liggett 	280	2019	7	8/12/19	7/30/19
Carson Fire	El Dorado	Northeast of Placerville in the community of Camino, off of Shadow Ridge Road	13	2019	7	7/31/19	7/30/19
Lake Fire	Monterey	near Lake San Antonio, Jolon Road and New Pleyto Road, Lockwood 	306	2019	7		7/29/19
Star Fire	San Bernardino	Chino Hils Parkway and Grand Avenue, Chino Hills	156	2019	7		7/28/19
Tucker Fire	Modoc	Hwy 139 and Tucker Butte Rd, 6 miles SW of Clear Lake Reservoir	14217	2019	7	8/11/19	7/28/19
Dehesa Fire	San Diego	Dehesa Road and Slone Canyon Road, Dehesa	150	2019	7		7/28/19
Range Fire	Santa Barbara	north of Lake Cachuma	100	2019	7	8/5/19	7/28/19
Tree Fire	Siskiyou	Tree of Heaven Campground, east of Gottsville	83	2019	7		7/27/19
Community Fire	Siskiyou	Hwy 96 near the Klamath River Community Hall	35	2019	7		7/27/19
Usal Fire	Mendocino	Usal Creek and Usal Rd, west of Leggett	130	2019	7		7/27/19
Marshview Fire	Solano	Off Marshview Road and Highway 680, South of Cordelia 	183	2019	7		7/24/19
Sweigert Fire 	Santa Clara	Off of Kahler Court and Felter Road, East of Milpitas	80	2019	7		7/24/19
Thompson Fire 	San Luis Obispo	Off Highway 166  and Highway 101, North of Santa Maria	95	2019	7		7/24/19
Moms Fire 	Butte	Off Moms Lane and Lone Tree Road, South of Orville 	10	2019	7		7/23/19
Canyon Fire	Napa	Hwy 128 and Wragg Canyon Rd 16 miles east of St. Helena	64	2019	7		7/22/19
Milpas Fire	San Bernardino	Milpas Rd and Valley View Rd, 10 miles SE of Apple Valley	81	2019	7		7/22/19
Valley Fire	Mariposa	Old Hwy and Guadalupe, East of Mariposa	149	2019	7		7/21/19
Tejon Fire	Kern	I 5 and Diger Rd, South of Bakersfield	208	2019	7		7/21/19
Rains Fire	Stanislaus	Frank Raines Park on Del Puerto Canyon Road, west of Patterson	35	2019	7	7/18/19	7/18/19
Whiskey Fire	Calaveras	near the Whiskey Creek Day Use area of New Hogan Lake	27	2019	7	7/20/19	7/18/19
Goose 2 Fire	Modoc	Off Highway 395 and South Willow Ranch Road, West of Fort Bidwell 	128	2019	7	7/20/19	7/17/19
Vista Fire	San Diego	Off Vista De La Montana in the Dehesa area	25	2019	7	7/18/19	7/17/19
Meadow Fire	Riverside	Highway 371 near Lake Riverside Drive	81	2019	7	7/17/19	7/16/19
Whiskey Fire	San Joaquin	west Lower Jones Road, west of the Community of Slough 	90	2019	7		7/16/19
Milton Fire 	Stanislaus	Off of Milton Road and Highway 4, North of Oakdale 	202	2019	7	7/16/19	7/15/19
Aborn Fire	Santa Clara	Off Aborn Road and Murillo Avenue, East San Jose 	47	2019	7	7/15/19	7/15/19
Madera Fire 	Madera	Off Road 33 and Highway 145, Bonadelle	213	2019	7	7/16/19	7/15/19
Doyle Fire	Lassen	Off Old Highway and Cowboy Joe Road, Northwest of Doyle	193	2019	7	7/16/19	7/14/19
South Fire 	Ventura	Off of South Mountain Rd and Balcom Canyon Road East of Santa Paula	131	2019	7	7/15/19	7/14/19
Orange fire	Riverside	27000 block of Orange Avenue in Nuevo	96	2019	7	7/13/19	7/13/19
Jasper Fire	State of Nevada	Chimney Rd and Barrel Springs Rd, 2 miles North of Sun Valley Nevada	1165	2019	7	7/16/19	7/13/19
Border Fire	San Diego	Off of Cottonwood Creak and Barrett Truck Trail along the US/Mexico border	100	2019	7	7/15/19	7/12/19
Lincoln Fire	Riverside	Lincoln St and Ave 66, Mecca, 6 miles south of Coachella	80	2019	7	7/17/19	7/12/19
Mid Fire	Alameda	patterson pass and mid way, eastern	22	2019	7	7/12/19	7/12/19
Horse Fire	Shasta	Blue Horse Rd and Saddle Trail, 2 miles NW of Olinda	30	2019	7		7/12/19
Gibbel Fire 	Riverside	Off of Girard Street and Quiet Hills Drive 	20	2019	7	7/11/19	7/11/19
Sargent Fire	Monterey	Sargent Canyon Road and Sheep Canyon, San Ardo Oil Fields	190	2019	7	7/10/19	7/9/19
Lake Fire	Mariposa	McSwain Entrance and Lake McClure Rd, Hornitos	244	2019	7		7/8/19
Gillis Fire	San Luis Obispo	Gillis Canyon and South East of Shandon	1010	2019	7	7/9/19	7/8/19
Far Fire	Yuba	Camp Far West rd &amp; Nisenan Ln, northeast of Wheatland	38	2019	7		7/6/19
Bikeway Fire	Alameda	Christensen Road, Near Bethany Reservoir 	25	2019	7	7/5/19	7/5/19
Fellow Fire	Contra Costa	Franklin Canyon Rd. 	24	2019	7	7/5/19	7/5/19
Ranch Fire	Shasta	Near Yolla Bolla Rd &amp; Roaring Creek in Igo	30	2019	7	7/6/19	7/5/19
Snowstorm Fire	Lassen	Snowstorm Rd, south of Ravendale	263	2019	7	7/6/19	7/5/19
Hollow Fire	San Joaquin	West Corral Hollow Road, Carnegie State Vehicular Recreational Area, southwest of Tracy	283	2019	7	7/5/19	7/3/19
Coyote Fire	Santa Clara	Northbound US 101 at Coyote Creek Golf Drive in San Jose	74	2019	7	7/2/19	7/2/19
Otay Fire	San Diego	East of the Lower Otay Reservoir, East of Chula Vista	28	2019	6	6/30/19	6/29/19
Wolf Fire 	Riverside	Off of Lamb Canyon Road and California Avenue, Southeast of Beaumont	214	2019	6	6/30/19	6/29/19
Merced Fire 	Merced	Off of Merced Fall Road and La Grange Road, East of Snelling	210	2019	6	7/2/19	6/29/19
Mayberry Fire 	Butte	Off Craig Access Road, Near Lake Oroville 	12	2019	6	6/29/19	6/29/19
Long Fire	Nevada	Off of  Long Point Road and Old Mill Road, Southeast of Camptonville in Nevada County 	2	2019	6	6/28/19	6/28/19
Nuevo Fire	Riverside	Nuevo Road and Menifee Road	20	2019	6	6/27/19	6/27/19
Trinity Fire	Shasta	Trinity Alps Vista Road and Bland Road, southwest of Ono	90	2019	6	6/26/19	6/26/19
Mines Fire	Santa Clara	Mines Road and Turner Gulch in the San Antone Valley. 	17	2019	6	6/27/19	6/26/19
Dyer Fire	Placer	Watt Ave &amp; Dyer Road, northeast of Rio Linda	148	2019	6	6/27/19	6/26/19
Scott Fire	Yuba	off Scott Forbes Rd, 5 miles east of Browns Valley	80	2019	6	6/25/19	6/25/19
Rock Fire	Stanislaus	Del Puerto Canyon Rd, east of Patterson  	2420	2019	6	6/27/19	6/25/19
Lonoak Fire	Monterey	Lonoak Rd &amp; Airline Hwy, East of King City  	2546	2019	6	6/26/19	6/25/19
Scott Fire	Yuba	off Scott Forbes Rd, 5 miles east of Browns Valley	80	2019	6	6/24/19	6/24/19
Paskenta Fire	Tehama	off Corning Road and Paskenta Road, West of Corning	46	2019	6	6/24/19	6/22/19
Jerry Fire	Riverside	off Gilman Springs Road, between Highway 60 and Jack Rabbit Trail	500	2019	6	6/24/19	6/21/19
Mountain Fire	Alameda	off Grant Line Rd and Mountain House Rd	30	2019	6	6/24/19	6/21/19
Weisgarber Fire	San Diego	one mile west of the DeLuz gate, Camp Pendleton	120	2019	6	6/21/19	6/20/19
Lumgrey Fire	Siskiyou	off Highway 96 and Lumgrey Road, West of Gottsville	207	2019	6	6/24/19	6/17/19
IronGate Fire	Siskiyou	Deer Run Road, east of Iron Gate Reservoir	10	2019	6	6/21/19	6/16/19
32 Fire	Butte	Humboldt Road and Highway 32	17	2019	6	6/24/19	6/15/19
Rocky Fire	Siskiyou	Rocky Rd and Harry Cash Rd, 9 miles east of Grenada 	17	2019	6	6/17/19	6/14/19
McMillan Fire	San Luis Obispo	Highway 46 East and McMillan Canyon Road, North of Shandon	1763	2019	6	6/24/19	6/12/19
Ardo Fire	Monterey	near San Ardo	43	2019	6	6/17/19	6/12/19
Calaveras Fire 	Santa Clara	Calaveras Road and Weller Road East of Milpitas	35	2019	6	6/17/19	6/10/19
Springs Fire	Tulare	Off Mountain Road 56 East of Ducor 	47	2019	6	6/11/19	6/10/19
Bitter Fire 	San Luis Obispo	Bitterwater Road East of Paso Robles	120	2019	6	6/11/19	6/10/19
Pauma Fire	San Diego	Highway 76 and Pauma Valley Road 	15	2019	6	6/24/19	6/10/19
Malech Fire	Santa Clara	Malech Rd &amp; Bailey Rd, South San Jose	210	2019	6	6/11/19	6/9/19
Levee Fire	Yuba	Highway 20 &amp; E 22nd Street, in Marysville	70	2019	6	6/17/19	6/8/19
Sand Fire	Yolo	Guinda	2220	2019	6	6/17/19	6/8/19
Ink Fire	Napa	Pope Valley Rd, northeast of Calistoga	50	2019	6	6/17/19	6/8/19
West Butte Fire	Sutter	North Butte Rd &amp; West Butte Rd, northeast of Colusa	1350	2019	6	6/17/19	6/8/19
Nelson Fire 	Solano	Cordelia Road and Link Road 	24	2019	6	6/17/19	6/7/19
Watt Fire	Placer	Watt Ave near Baseline Road 	27	2019	6	6/11/19	6/7/19
Stuhr Fire	Stanislaus	Interstate 5 and Pete Miller Road, southwest of Newman	581	2019	6	6/11/19	6/7/19
Willow Fire	Contra Costa	Highway 4 and Willow Pass Rd, 2 miles west of Bay Point	23	2019	6	6/11/19	6/6/19
Boulder Fire	San Luis Obispo	off Highway 58 and Boulder Creek Road, California Valley	1075	2019	6	6/11/19	6/5/19
Yokohl Fire	Tulare	off of Yokohl Drive in Tulare County 	33	2019	6	6/4/19	6/3/19
Bear Fire	Tulare	Off of Balch Park Rd in Springville	25	2019	6	6/11/19	6/3/19
Citrus Fire	Tulare	Off Rd 256 &amp; Ave 220, east of Strathmore	257	2019	6	6/11/19	6/2/19
Spruce Fire	Tulare	Off Spruce Rd &amp; Myer Dr, east of Exeter	155	2019	6	6/11/19	6/1/19
Diversion Fire	Riverside	Near the Intersection of Highway 95 and 2nd Avenue, in Blythe	45	2019	5	6/3/19	5/30/19
Canyon Fire	Santa Clara	Off Del Puerto Canyon Rd &amp; Diablo Grande Pkwy, west of Patterson	144	2019	5	6/11/19	5/30/19
Belmont Fire	San Luis Obispo	Belmont &amp; Costa Mesa Rd, In California Valley	835	2019	5	6/3/19	5/29/19
Hill Fire	Fresno	S. Hills Valley Road, north of Orange Cove	121	2019	5	6/5/19	5/29/19
66 Fire	Riverside	Off Avenue 66 in Thermal	55	2019	5	6/24/19	5/29/19
Paskenta Fire	Tehama	Paskenta Rd and Canal View Road, northwest of Corning	63	2019	5	5/24/19	5/20/19
Foothill Fire	Riverside	Off Foothill Avenue &amp; Orange Avenue, in Nuevo	26	2019	5	5/24/19	5/20/19
Shady Fire	Riverside	off Airport Boulevard and Shady Lane in Thermal, southwest of Coachella	130	2019	5	5/24/19	5/18/19
Border Fire	San Diego	off Tin Can Canyon along the border in Otay Mesa	22	2019	5	5/19/19	5/13/19
Sugar Fire	Placer	Sugar Pine Road and Big Reservoir Lane, northeast of Foresthill	65	2019	5	5/24/19	5/10/19
Refuge Fire	Kern	off Twisselmen Road, in the Kern National Wildlife Refuge,15 miles west of Delano	2500	2019	5	5/9/19	5/7/19
Vulcan Fire	Kern	Off Highway 166 at Wind Wolves Preserve	172	2019	5	5/8/19	5/3/19
Meridian Fire	Butte	Off Munjar Rd, north of Chico	50	2019	5	5/8/19	5/1/19
Cana Fire	Butte	Off Hamilton Nord Cana Hwy &amp; Cana Hwy, northeast of Chico	10	2019	4	5/8/19	4/30/19
Woody Fire	Kern	Woody Rd &amp; Horseshoe Ranch Rd, northeast of Bakersfield	115	2019	4	5/8/19	4/30/19
York Fire	Kings	Hwy 41 and York Ave, 13 miles south of Avenal (Kings County)	161	2019	4	6/24/19	4/28/19
Pilot Fire	Humboldt	Pilot Ridge Rd &amp; USFS Route 1, southwest of Willow Creek	30	2019	1	1/15/19	1/1/19
Honey Flooding	Butte	Lower Skyway and Lower Honey Run, Between Chico and Paradise 	0	2018	11	1/4/19	11/29/18
Bear Fire 	Santa Cruz	off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz	10	2018	11	1/4/19	11/16/18
Morgan Fire	Contra Costa	Off Morgan Territory Rd &amp; Storybook Ln, east of San Ramon	20	2018	11	1/4/19	11/15/18
Briggs Fire	Ventura	off Shell Road and Orr Road, Santa Paula	150	2018	11	1/4/19	11/15/18
Niles Fire	Alameda	off Palomares Road Niles Canyon Road, northwest of Sunol	20	2018	11	1/4/19	11/14/18
Sierra Fire	San Bernardino	off Sierra Ave and Riverside Ave	147	2018	11	1/4/19	11/13/18
Green Hill Fire	Humboldt	off Highway 299 in the area of Green Hill	10	2018	11	1/4/19	11/12/18
Peak Fire	Ventura	off Highway 118 and Rocky Peak Road, east of Simi Valley	186	2018	11	1/4/19	11/12/18
Brushy Fire	Mendocino	near Dos Rios, off Highway 162, East of Highway 101 and West of Covelo	35	2018	11	1/4/19	11/8/18
Camp Fire	Butte	Pulga Road at Camp Creek Road near Jarbo Gap	153336	2018	11	11/25/18	11/8/18
Horn Fire	Lassen	Horn Road and Mail Route Road, 9 miles southeast of Termo  	88	2018	11	1/4/19	11/8/18
Nurse Fire	Solano	off Highway 12 and Nurse Blue Road, Suisun City	1500	2018	11	1/4/19	11/8/18
Hill Fire	Ventura	Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley	4381	2018	11	1/4/19	11/8/18
Woolsey Fire	Los Angeles, Ventura	E Street and Alfa Road Rd, South of Simi Valley	96949	2018	11	1/4/19	11/8/18
Adams Fire	Tehama	off Adams Road at Barr Lane, southwest of Cottonwood 	60	2018	11	1/4/19	11/5/18
Rincon Fire	Santa Cruz	off Highway 9 and Rincon Crossing, north of Santa Cruz  	17	2018	11	1/4/19	11/3/18
June Fire	Butte	Four Junes Way and Palermo, south of Palermo 	550	2018	10	1/4/19	10/30/18
Market Fire	Tulare	Road 208 and Avenue 380, 5 miles north of Woodlake	120	2018	10	1/4/19	10/24/18
Camino Fire	San Luis Obispo	Off Lopez Drive east of Arroyo Grande	58	2018	10	1/4/19	10/19/18
Powellton Fire	Butte	Upper Powellton Rd and Skyway, north of Stirling City	10	2018	10	1/4/19	10/15/18
Tower Fire	Shasta	Cloverdale &amp; Clear Creek, Near the community of Igo	12	2018	10	1/4/19	10/14/18
Masonic Fire	Shasta	Lake Blvd &amp; Masonic Ave, Redding	38	2018	10	1/4/19	10/14/18
Priest Fire	Monterey	Hwy 198 &amp; Priest Valley Rd, east of San Lucas	167	2018	10	1/4/19	10/13/18
Winters Fire	Solano	Winters Rd &amp; Allendale Rd, south of Winters	160	2018	10	1/4/19	10/12/18
Iron Gate Fire	Siskiyou	1 mile northwest of Iron Gate Dam	15	2018	10	1/4/19	10/10/18
Sun Fire	Tehama	Hwy 36 and Sunriver Road, east of Red Bluff	3889	2018	10	1/4/19	10/7/18
Park Fire	Santa Clara	Monterey Road and Coyote Creek Golf Drive, north of Morgan Hill	63	2018	10	1/4/19	10/7/18
Nacimiento Fire	Monterey	Nacimiento Fergusson Rd, west of Jolon	150	2018	10	1/4/19	10/2/18
Eagle Fire	Fresno	Bobs Flat Trail, 3 miles north of Trimmer	32	2018	10	1/4/19	10/2/18
Shandon Fire	San Luis Obispo	Gillis Canyon Road and San Juan Road, east of Paso Robles	80	2018	9	1/4/19	9/29/18
Wilson Fire	Tehama	Wilson Lake Rd and Lost Creek Rd, 10 miles NW of Chester  	261	2018	9	1/4/19	9/28/18
Silver Fire	Shasta	Oak Run Rd and Little Ridge Rd, Palo Cedro	76	2018	9	1/4/19	9/28/18
Keenbrook Fire	San Bernardino	Cajon Blvd and Kenwood Ave, Devore	53	2018	9	1/4/19	9/26/18
Nimshew Fire	Butte	Nimshew Rd &amp; Centerville Rd, Magalia	33	2018	9	1/4/19	9/24/18
Quimby Fire	Santa Clara	Quimby Rd &amp; Borden Dr, East San Jose 	30	2018	9	1/4/19	9/23/18
Charlie Fire	Los Angeles	Charlie Canyon Rd  and Tapia Canyon Rd, Castaic	3380	2018	9	1/4/19	9/22/18
Oak Fire	Madera	Lonesome Oak Ln and Bissett Station Rd, Ahwahnee	360	2018	9	1/4/19	9/22/18
Copper Fire	Lassen	McKenzie Meadows and Hwy 36, 15 miles west of Susanville	53	2018	9	1/4/19	9/22/18
Meyers Fire	El Dorado	Meyers Rd in Camino	12	2018	9	1/4/19	9/20/18
Reservoir Fire	San Luis Obispo	off Reservoir Canyon Road and Highway 101, east of San Luis Obispo	51	2018	9	1/4/19	9/16/18
Soboba Fire	Riverside	off Soboba Rd. San Jacinto, northeast of San Jacinto City, Soboba 	25	2018	9	1/4/19	9/14/18
Metz Fire	Monterey	Metz Road and Topo Road, east of Greenfield	411	2018	9	1/4/19	9/13/18
Water Fire	Kern	southbound I-5, south of Grapevine Rd.	200	2018	9	1/4/19	9/12/18
Irving Fire	Marin	Samuel P Taylor State Park, northwest of the Community of Lagunitas	152	2018	9	1/4/19	9/10/18
Fork Fire	Los Angeles	East Fork Rd &amp; San Gabriel Canyon Rd, Azusa	166	2018	9	1/4/19	9/9/18
Snell Fire	Napa	off Butts Canyon Rd and Snell Valley Rd, southeast of Middletown	2490	2018	9	1/4/19	9/8/18
Tulloch Fire	Tuolumne	Hwy 108 and Tulloch Road, east of Oakdale	573	2018	9	1/4/19	9/8/18
Delta Fire	Shasta, Trinity	I-5 and Lamoine, 2 miles NW of Lakehead 	63311	2018	9	1/4/19	9/5/18
Sliger Fire	El Dorado	Sliger Mine Rd and Hida Way, northwest of Georgetown	150	2018	9	1/4/19	9/4/18
Ranchera Fire	Shasta	Ranchera Road and Hill Boulevard, Shasta Lake City	13	2018	9	1/4/19	9/4/18
Kerlin Fire	Trinity	Kerlin Creek, west of Hyampom	1751	2018	9	1/4/19	9/4/18
Boot Fire	Mono	Hwy 395 &amp; Hwy 108, Sonora Junction	6974	2018	9	1/4/19	9/4/18
Kelsey Fire	Lake	Kelsey Creek Rd &amp; Conklin Ln, Kelseyville	24	2018	9	1/4/19	9/3/18
North Fire	Placer	North Fork Campground, south of Emigrant Gap	1120	2018	9	1/4/19	9/3/18
Ridge Fire	Lake	Highland Springs Rd &amp; Old Toll Rd, Kelseyville	36	2018	9	1/4/19	9/2/18
Essex Fire	Modoc	East of Essex Reservoir, northeast of Canby.	15	2018	9	1/4/19	9/2/18
Ogilvy Fire	Santa Barbara	Pie Canyon Rd and Mono-Alamar Rd, NE of Gibraltar Reservoir	172	2018	9	1/4/19	9/1/18
Sterling	San Bernardino	Sterling Ave and Foothill Dr, City of San Bernardino	125	2018	8	1/4/19	8/31/18
Grade Fire	Lake	off Knoxville Road and Knoxville Devilhead Road, Knoxville	60	2018	8	1/4/19	8/30/18
Redinger Fire	Madera	Mammoth Road, 29 miles north of Clovis	88	2018	8	1/4/19	8/27/18
Winchester Fire	Riverside	Hidden Falls Road, Winchester	36	2018	8	1/4/19	8/27/18
Castro Fire	Alameda	I 580 and Paloverde Rd., Castro Valley	48	2018	8	1/4/19	8/26/18
Cache Fire	Lake	Hwy 20 and New Long Valley Rd, Clear Lake Oaks          	103	2018	8	1/4/19	8/26/18
Country Fire	Riverside	off High Country Drive in Moreno Valley	32	2018	8	1/4/19	8/25/18
Eastman Fire	Madera	Road 29 &amp; Road 607, southwest of Eastman Lake	289	2018	8	1/4/19	8/23/18
Land Fire	Riverside	Hwy 60 and Jack Rabbit Trail, Beaumont	23	2018	8	1/4/19	8/22/18
Gorge Fire	Shasta	off Highway 36 west and Beegum Gorge road, Platina area	155	2018	8	1/4/19	8/19/18
Front Fire	Santa Barbara	off Highway 166 and Sierra Madre Road	1014	2018	8	1/4/19	8/19/18
Keller Fire	Riverside	off Scenic View Drive and Keller Road	10	2018	8	1/4/19	8/19/18
Call Fire	Kern	off Cow Flat Road and Highway 178, west of Lake Isabella	367	2018	8	1/4/19	8/18/18
Alhambra Fire	Contra Costa	off Highway 4 and Alhambra Ave, Martinez	30	2018	8	1/4/19	8/17/18
Marcel Fire	Kern	off Marcel Drive and Woodford-Tehachapi Road, west of Tehachapi	34	2018	8	1/4/19	8/17/18
Mill Creek 1 Fire	Humboldt	Hwy 96 &amp; Mill Creek Road, northeast of the Town of Hoopa	3674	2018	8	1/4/19	8/16/18
Pine Fire	Kern	off Pine Mountain Road and Granite Road, north of Bakersfield	114	2018	8	1/4/19	8/16/18
River Fire	Tulare	Old Stage Rd and White River Rd, southeast of Porterville	496	2018	8	1/4/19	8/15/18
Stone Fire	Modoc	Big Canyon, 10 miles SW of Canby	39387	2018	8	1/4/19	8/15/18
Cloverdale Fire	San Diego	off San Pasqual Valley Rd, near Escondido.	100	2018	8	1/4/19	8/13/18
Oak Fire	Nevada	off Oak Lane and Buck Mountain Road, south of Grass Valley	16	2018	8	1/4/19	8/12/18
Gulch Fire	Monterey	Dead Mans Gulch Rd and Sargents Rd, south of San Ardo	700	2018	8	1/4/19	8/11/18
Nelson Fire	Solano	Nelson Rd and Cherry Glen Rd, Vacaville	2162	2018	8	1/4/19	8/10/18
Hirz Fire	Shasta	off Gilman and Moore Creek Campground, east of Lakehead 	46150	2018	8	1/4/19	8/9/18
Rangeland Fire	San Diego	off Rangeland Road and Highway 78 in Ramona	250	2018	8	1/4/19	8/9/18
Hat Fire	Shasta	Hwy 299 east and Fish Hatchery rd, northeast of Burney 	1900	2018	8	1/4/19	8/9/18
Syar Fire	Napa	Napa Vallejo Highway and Syar Industrial Way	10	2018	8	1/4/19	8/9/18
Murphy Fire	Plumas	off Hwy 70 near Chips Creek, west of Belden	117	2018	8	1/4/19	8/7/18
Casner Fire	San Diego	off Old Julian Highway and Creek Hollow, west of Ramona	14	2018	8	1/4/19	8/6/18
Turkey Fire	Monterey	near Highway 46 and Turkey Flats, near Parkfield	2225	2018	8	1/4/19	8/6/18
Holy Fire	Orange	Holy Jim Canyon, west of N. Main Divide	23136	2018	8	1/4/19	8/6/18
Terra Fire	Riverside	off Terramor Road and Temescal Canyon Road, community of Temescal Valley	35	2018	8	1/4/19	8/6/18
South Fire	Calaveras	Near Milton Road and South Gulch Road, Rancho Calaveras	290	2018	8	1/4/19	8/6/18
Five Fire	Kings	off Interstate 5 and Milham Rd, Kettleman Hills area	2995	2018	8	1/4/19	8/6/18
Parrots Fire	Calaveras	Parrots Ferry Rd x Camp 9 Rd, South of the community of Vallecito	136	2018	8	1/4/19	8/5/18
Wagner Fire	Mariposa	Texas Hill Rd and Bondurant Mine Rd, east of Coulterville	22	2018	8	1/4/19	8/4/18
Creek Fire	Alameda	Welch Creek Rd and Geary Rd., southeast of Sunol	30	2018	8	1/4/19	8/4/18
Tarina Fire	Kern	Breckenridge Rd &amp; Comanche Dr, east of Bakersfield	3156	2018	8	1/4/19	8/3/18
Western Fire	Mendocino	Off Highway 101, south of Hopland	106	2018	8	1/4/19	8/1/18
Donnell Fire	Tuolumne	Near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness	36450	2018	8	1/4/19	8/1/18
Bumper Fire	El Dorado	Bumper Rd &amp; China Hill Rd, east of Frenchtown	67	2018	8	1/4/19	8/1/18
Omega Fire	El Dorado	off Omega Lane and Alpha Circle, west of Pilot Hill	66	2018	8	1/4/19	8/1/18
Sunset Fire	Placer	off Sunset Blvd. West and South Brewer Rd, northwest of Roseville	695	2018	8	1/4/19	8/1/18
Owens Fire	Inyo	Owens River Rd &amp; Indiana Summit Rd, north of Mammoth Lakes	338	2018	7	1/4/19	7/31/18
Butte Fire	Sutter	Pass Road and W Butte Road, 9 miles northwest of Yuba City 	1200	2018	7	1/4/19	7/31/18
Eel Fire	Mendocino	off Indian Dick Road and Mendocino Pass Road, east of Covelo	972	2018	7	1/4/19	7/31/18
Corner Fire	Shasta	Hwy 299 E &amp; Hwy 89, east of Burney	35	2018	7	1/4/19	7/29/18
Sobrante Fire	Riverside	El Sobrante Road at McAllister Street, Lake Matthews	30	2018	7	1/4/19	7/28/18
Rock Fire	San Diego	Rock Mountain Dr. and Sandia Creek Dr. in the community of Fallbrook. 	207	2018	7	1/4/19	7/28/18
Steele Fire	Napa	off Arroyo Grande Drive and Steele Canyon Road, Capell	135	2018	7	1/4/19	7/28/18
Pasqual Fire	San Diego	San Pasqual Valley Rd, west of Ramona	365	2018	7	1/4/19	7/27/18
Ranch Fire (Mendocino Complex)	Colusa, Mendocino, Glenn, Lake	off Highway 20 near Potter Valley, northeast of Ukiah 	410203	2018	7	1/4/19	7/27/18
Balch Fire	Tulare	off Balch Park Road and Yokohl Drive, northeast of Porterville	100	2018	7	1/4/19	7/27/18
River Fire (Mendocino Complex)	Colusa, Lake, Mendocino	Old River Rd, near Mile Marker Post 7.9, Hopland 	48920	2018	7	1/4/19	7/27/18
Breckenridge Fire	Kern	off Breckenridge Road and Tarina Ct, east of Bakersfield	993	2018	7	1/4/19	7/27/18
Whaleback Fire	Lassen	off Whaleback Mountain and Antelope Valley Road, West of Spaulding	18703	2018	7	1/4/19	7/27/18
Ribbon Fire	Riverside	Highway 74 and Ribbonwood Dr. near Pinyon	205	2018	7	1/4/19	7/26/18
Church Fire	Santa Clara	Monterey Road and Church Ave, San Martin	20	2018	7	1/4/19	7/25/18
Marsh Fire	Contra Costa	Marsh Creek Rd and  Bragdon way, east of Mount Diablo 	247	2018	7	1/4/19	7/25/18
Hidden Fire	San Benito	Hidden Valley Rd &amp; Cienega Rd, south of Hollister	39	2018	7	1/4/19	7/25/18
Patterson Fire	Alameda	Patterson Pass Road and Midway Rd, Altamont 	34	2018	7	1/4/19	7/25/18
Crestline Fire	Shasta	Crest Line Dr and Hunt Rd, Montgomery Creek, west of Burney	51	2018	7	1/4/19	7/24/18
Roxie Fire (Formerly 1-1 Fire)	Lassen	Roxie Peconom Campground, west of Willard Cr, 10 mi west of Susanville	167	2018	7	1/4/19	7/24/18
Carr Fire	Shasta, Trinity	Hwy 299 and Carr Powerhouse Rd, Whiskeytown	229651	2018	7	8/30/18	7/23/18
Pico Fire	Los Angeles	off West Pico Canyon Rd and Potrero Canyon Rd, Stevenson Ranch area	128	2018	7	1/4/19	7/23/18
Martinez Fire	Riverside	Off Martinez Road &amp; Avenue 66, Thermal	40	2018	7	1/4/19	7/23/18
Country Fire	Santa Clara	County Club Rd &amp; N Park Victoria Rd in Milpitas 	320	2018	7	1/4/19	7/22/18
Carder Fire	Lake	Adobe Creek Rd &amp; Peterson Ln, Kelseyville	50	2018	7	1/4/19	7/21/18
Rock Fire	San Luis Obispo	off Chimney Rock Rd and Gage Irving Rd, south of Lake Nacimiento (San Luis Obispo County)	30	2018	7	1/4/19	7/21/18
