Name	County	Location	AcresBurned	Year	Month	Extinguished	Started
Bear Fire	Kern	Interstate 5 and Bear Trap Road in Kern County.	71	2021	7	7/12/21	7/11/21
River Fire	Mariposa	Oak Grove Road and Oak Grove School Road	9656	2021	7	7/19/21	7/11/21
Bradley Fire	Siskiyou	Highway 89 and Harris Spring Road, east of McCloud in Siskiyou County.	357	2021	7	7/15/21	7/11/21
Road Fire	San Diego	Japatul Valley Road and I-8 in San Diego County	86	2021	7	7/17/21	7/10/21
Basalt Fire	Merced	Basalt Road, near Basalt Campground	92	2021	7	7/9/21	7/9/21
Coyote Fire	Modoc	Highway 139 and Dead Horse Canyon, southeast of Tulelake	110	2021	7	7/15/21	7/9/21
Broiler Fire	Mendocino	Uva Drive and Finne Road, Southwest of Redwood Valley	80	2021	7	7/9/21	7/7/21
Juniper Fire	Modoc	South Mountain Reservoir and South Mountain Spur, west of Goose Lake	1011	2021	7	7/15/21	7/5/21
Beckwourth Complex	Plumas	northeast of Beckwourth	105670	2021	7	9/22/21	7/4/21
Tumbleweed Fire	Los Angeles	Southbound I-5, south of Gorman	868	2021	7	7/12/21	7/4/21
Fish Fire	Fresno	Trimmer Springs Rd and Fish Creek Fire Control Rd, Piedra	75	2021	7	7/5/21	7/4/21
Tamarack Fire	Alpine	Pleasant Valley, Southwest of Markleeville	68637	2021	7	10/25/21	7/4/21
Ysabel Fire	San Diego	Highway 79 and Mesa Grande Rd, near Santa Ysabel	173	2021	7		7/3/21
Main Fire	Tulare	Drive 242 and Reid Ave, East of Porterville	384	2021	7	7/4/21	7/3/21
Sugar Fire	Plumas	tate Highway 70 x Sugarloaf Peak, northeast of Beckworth	NA	2021	7		7/2/21
Blue Fire	Fresno	Big Creek Road and Soaproot Saddle Road, South of Shaver	277	2021	6	7/8/21	6/30/21
Salt Fire	Shasta	Gilman Rd and Coal Creek Rd, north of Shasta Lake City	12660	2021	6	7/19/21	6/30/21
R-1 Fire	Lassen	Spanish Springs Peak, southeast of Ravendale in Lassen County.	NA	2021	6		6/30/21
Peak Fire	San Bernardino	Old Waterman Canyon Road and Highway 18, North of Waterman Canyon	35	2021	6	7/1/21	6/28/21
Stowe Fire	Riverside	California Avenue and Lyn Avenue	122	2021	6	6/29/21	6/28/21
Lilly Fire	Madera	Road 400 and Lilley Mountain Drive,  Southwest of the Community of Coarsegold	35	2021	6	6/29/21	6/28/21
Tennant Fire	Siskiyou	Tennant Road and Pengrass Road, South of Mount Hebron	10580	2021	6	7/15/21	6/28/21
Beswick Fire	Siskiyou	Ager-Beswick Road and Desavado Road, North of Montague	118	2021	6	7/3/21	6/28/21
Shell Fire	Kern	Interstate 5 and Grapevine Rd	1984	2021	6	6/30/21	6/27/21
Sky Fire	Butte	Philbrook Rd.	76	2021	6	7/9/21	6/27/21
Vulcan Fire	Fresno	Friant Rd and Willow Rd	140	2021	6	6/29/21	6/27/21
Steins Fire	El Dorado	Kingvale Rd and Wildcrest Rd	11	2021	6	6/27/21	6/26/21
Canyon Fire	Kern	Hwy 178 and Rancheria Rd	220	2021	6	6/28/21	6/26/21
Paseo Fire	Santa Clara	Paseo Robles Ave and Paseo Vista Ave, East of Morgan Hill	37	2021	6	6/25/21	6/25/21
Henry Fire	Alpine	East of Lake Alpine, Carson-Iceberg Wilderness	1320	2021	6	7/30/21	6/25/21
4-3 Fire	Modoc	Hwy 395 and Pencil Road, north of Alturas	134	2021	6	6/28/21	6/24/21
Lava Fire	Siskiyou	Hotlum Rd and Lumm Rd	26409	2021	6	9/3/21	6/24/21
Panoche Fire	San Benito	Panoche Road and Moody Canyon, East of Panoche Valley	145	2021	6	6/24/21	6/23/21
Pine Fire	Shasta	Pine Meadow Place and Cloverdale Road, West of Anderson	50	2021	6		6/23/21
Mesa Fire	San Diego	Hwy 76 and Cousier Canyon, Community of Pala	350	2021	6	6/27/21	6/23/21
Antelope Fire	Modoc	Antelope Reservoir, 10 miles northeast of Canby	580	2021	6	6/29/21	6/22/21
Watt Fire	Placer	Watt Ave at PFE Rd, north of Sacramento	42	2021	6	6/21/21	6/21/21
